TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-1744-2025","2025-01-11 18:15:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","4336888","108.11","108.11","2 B/R","1","","","","1","1","","Marina Place 2"
"102-1745-2025","2025-01-11 18:21:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","557407","41.98","41.98","Studio","1","","","IMG World Adventures","1","1","","Weybridge Gardens 2"
"102-1746-2025","2025-01-11 18:24:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","3241888","118.7","118.7","2 B/R","1","","","","1","1","","Marina Place 2"
"102-1747-2025","2025-01-11 18:26:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","3939888","339.46","339.46","4 B/R","","","","","1","1","","Greenville 2"
"102-1748-2025","2025-01-11 18:30:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Office","1757268","120.04","120.04","NA","2","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","ONE PARK CENTRAL BY IMAN"
"102-1749-2025","2025-01-11 18:32:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","3078000","117.9","117.9","2 B/R","1","","","","1","1","","Saria"
"102-175-2025","2025-01-09 21:02:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1263600","96.32","96.32","2 B/R","1","","","","1","1","","Samana Barari Views 2"
"102-1750-2025","2025-01-11 18:36:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","3274888","119.04","119.04","2 B/R","1","","","","2","1","","Marina Place 1"
"102-1751-2025","2025-01-11 18:40:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","2837888","100.92","100.92","2 B/R","1","","","","1","1","","Vida Residences Club Point"
"102-1752-2025","2025-01-11 18:42:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","873310","67.02","67.02","1 B/R","1","","","IMG World Adventures","1","1","","Milos By Karma"
"102-1753-2025","2025-01-11 18:57:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2894555","88.55","88.55","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","SOLARA TOWER DUBAI"
"102-1754-2025","2025-01-11 19:03:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARINA","Unit","Flat","3249888","115","115","2 B/R","1","Marina Mall Metro Station","Marina Mall","Burj Al Arab","2","1","","Marina Cove"
"102-1755-2025","2025-01-11 19:06:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","4394888","330.73","330.73","4 B/R","","","","","3","1","","The Valley - Avena"
"102-1756-2025","2025-01-11 19:12:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","582370.54","42.25","42.25","Studio","1","","","IMG World Adventures","1","1","","Weybridge Gardens 2"
"102-1757-2025","2025-01-11 19:15:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2169888","83.74","83.74","1 B/R","1","","","","1","1","","Marina Place 1"
"102-1758-2025","2025-01-11 19:17:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","1567888","69.31","69.31","1 B/R","1","","","","1","1","","Club Place"
"102-1759-2025","2025-01-11 19:20:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","788822","40.9","40.9","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Empire Estates "
"102-176-2025","2025-01-03 10:01:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","2350000","172.63","172.63","3 B/R","","","","","1","1","","MAHA TOWNHOUSES "
"102-1760-2025","2025-01-11 19:23:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","2746888","100.94","100.94","2 B/R","1","","","","1","1","","Vida Residences Club Point"
"102-1761-2025","2025-01-11 19:26:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1908000","71.19","71.19","1 B/R","1","","","","1","1","","Saria"
"102-1762-2025","2025-01-13 08:47:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","913466.66","75.08","75.08","1 B/R","1","","","IMG World Adventures","1","1","","Samana IBIZA"
"102-1763-2025","2025-01-11 19:29:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1179000","68.93","68.93","1 B/R","1","","","","1","1","","Samana Barari Lagoons"
"102-1764-2025","2025-01-13 08:33:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","3200000","256.92","256.92","4 B/R","","","","","1","1","","Arabian Ranches lll - Anya"
"102-1765-2025","2025-01-12 18:24:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","3045888","110.55","110.55","2 B/R","1","","","","1","1","","Golf Hillside"
"102-1766-2025","2025-01-14 14:40:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2008499.22","77.18","77.18","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","Binghatti Skyrise"
"102-1767-2025","2025-01-13 07:37:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","5908888","160.07","160.07","3 B/R","2","","","","1","1","","Marina Place 1"
"102-1768-2025","2025-01-12 19:16:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2149888","75.99","75.99","1 B/R","1","","","","1","1","","Marina Place 1"
"102-1769-2025","2025-01-14 14:30:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Satwa","Unit","Flat","1251054.53","61.71","61.71","1 B/R","1","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","2","1","","161 Jumeirah Lane"
"102-177-2025","2025-01-03 09:41:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","573000","34.8","34.8","Studio","1","Dubai Internet City","","Motor City","2","1","","Arisha Terraces "
"102-1770-2025","2025-01-13 07:11:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","1879530","66.09","66.09","1 B/R","1","","","","1","1","","Hillsedge"
"102-1772-2025","2025-01-14 14:42:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","4468888","171","171","3 B/R","2","","","","1","1","","Parkland"
"102-1773-2025","2025-01-12 19:22:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1093925","81.7","81.7","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Roma Residences by JRP"
"102-1774-2025","2025-01-14 14:38:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","1660888","69.44","69.44","1 B/R","1","","","","1","1","","Vida Residences Club Point"
"102-1775-2025","2025-01-14 10:02:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Satwa","Unit","Flat","1260831","61.65","61.65","1 B/R","1","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","1","1","","171 Garden Heights"
"102-1776-2025","2025-01-12 17:01:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","4336888","123.29","123.29","2 B/R","1","","","","1","1","","Marina Place 1"
"102-1778-2025","2025-01-12 16:50:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","801310","63.15","63.15","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","3","1","","Pearl House I by Imtiaz"
"102-1779-2025","2025-01-12 11:32:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","557420","42.18","42.18","Studio","1","","","IMG World Adventures","1","1","","Weybridge Gardens 2"
"102-178-2025","2025-01-03 10:12:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","630000","44.53","44.53","1 B/R","1","","","Dubai Cycling Course","1","1","","LIVA"
"102-1780-2025","2025-01-14 14:44:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","3124000","117.9","117.9","2 B/R","1","","","","2","1","","Saria"
"102-1781-2025","2025-01-12 18:04:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","2326000","77.99","77.99","1 B/R","1","","","","1","1","","Saria"
"102-1782-2025","2025-01-12 17:06:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","4696917","162.14","162.14","2 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","Signature Lifestyle Residences "
"102-1783-2025","2025-01-12 16:55:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","4346888","108.22","108.22","2 B/R","1","","","","2","1","","Marina Place 1"
"102-1784-2025","2025-01-14 12:19:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Dubai Investment Park Second","Building","Villa","2574000","145.05","145.05","4 B/R","","","","","1","1","","DAMAC RIVERSIDE - IVY"
"102-1785-2025","2025-01-12 18:08:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","1766049","102.76","102.76","1 B/R","1","","","","1","1","","Golf Hillside"
"102-1786-2025","2025-01-12 12:22:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SOUTH","Unit","Flat","2109888","101.94","101.94","2 B/R","1","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Terra Heights"
"102-1787-2025","2025-01-12 12:32:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SOUTH","Unit","Flat","1577888","67.66","67.66","1 B/R","1","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Terra Heights"
"102-1788-2025","2025-01-12 19:15:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","3025888","105.88","105.88","2 B/R","1","","","","1","1","","Hillsedge"
"102-1789-2025","2025-01-12 19:17:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1129000","89.57","89.57","1 B/R","1","","","IMG World Adventures","1","1","","Samana IBIZA"
"102-1790-2025","2025-01-14 15:42:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","1378000","71.59","71.59","1 B/R","1","","","","1","1","","Lacina"
"102-1791-2025","2025-01-12 19:24:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Khairan First","Unit","Flat","3577888","107.76","107.76","2 B/R","1","","","","1","1","","Palace Residences Creek Blue"
"102-1792-2025","2025-01-12 19:32:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1060363","73.77","73.77","1 B/R","1","","","IMG World Adventures","1","1","","Samana IVY Gardens 2"
"102-1793-2025","2025-01-12 22:19:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2575888","74.43","74.43","1 B/R","1","","","","2","1","","Marina Place 2"
"102-1794-2025","2025-01-12 22:22:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2105888","74.27","74.27","1 B/R","1","","","","1","1","","Marina Place 2"
"102-1795-2025","2025-01-12 22:24:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1471000","109.32","109.32","2 B/R","1","","","IMG World Adventures","1","1","","AARK RESIDENCES"
"102-1796-2025","2025-01-12 22:27:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","1382675","105.61","105.61","2 B/R","1","","","","1","1","","EQUITI HOME"
"102-1797-2025","2025-01-12 22:28:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1170200","69.46","69.46","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","MAK I'Sola Bella"
"102-1798-2025","2025-01-12 22:04:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1230999.3","79.77","79.77","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Adhara Star"
"102-1799-2025","2025-01-12 22:06:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SUFOUH GARDENS","Unit","Hotel Apartment","2646816","103.38","103.38","2 B/R","1","Dubai Internet City","Mall of the Emirates","Burj Al Arab","1","1","","Biltmore Sufouh"
"102-18-2025","2025-01-02 08:45:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","620000","35.66","35.66","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","2","1","","PG ONE AT AL FURJAN"
"102-180-2025","2025-01-03 09:59:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","3600000","385.57","385.57","4 B/R","","","","","1","1","","Arabian Ranches lll - Anya"
"102-1800-2025","2025-01-12 22:08:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1045000","70.21","70.21","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Belle Reve By Zimaya"
"102-1801-2025","2025-01-12 22:10:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","1759828","76.64","76.64","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","1","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1802-2025","2025-01-12 22:12:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2102888","74.43","74.43","1 B/R","1","","","","1","1","","Marina Place 2"
"102-1803-2025","2025-01-12 22:13:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1460000","107.77","107.77","2 B/R","1","","","","1","1","","Enqlave By Aqasa"
"102-1804-2025","2025-01-12 22:34:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1163432","112.87","112.87","2 B/R","1","","","IMG World Adventures","1","1","","A 99"
"102-1805-2025","2025-01-12 22:35:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","539690","34.58","34.58","Studio","1","","","","2","1","","Terra Tower"
"102-1806-2025","2025-01-14 15:43:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","2684000","147.37","147.37","2 B/R","1","","","","1","1","","Lacina"
"102-1807-2025","2025-01-12 22:40:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 3","Unit","Flat","1221052","81.59","81.59","1 B/R","1","","","IMG World Adventures","2","1","","Starlight Park"
"102-1808-2025","2025-01-12 22:42:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","1631828","78.11","78.11","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","2","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1809-2025","2025-01-12 20:57:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARINA","Unit","Flat","2095020","77.47","77.47","1 B/R","1","Dubai Marina","Marina Mall","Burj Al Arab","1","1","","PELaGOS By IGO "
"102-181-2025","2025-01-03 10:04:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","2900000","261.2","261.2","4 B/R","","","","","1","1","","MAHA TOWNHOUSES "
"102-1810-2025","2025-01-12 20:49:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","700000","42.85","42.85","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","2","1","","Binghatti Aurora"
"102-1811-2025","2025-01-13 08:45:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","699000","42.59","42.59","Studio","1","","","IMG World Adventures","1","1","","Samana IBIZA"
"102-1812-2025","2025-01-12 22:45:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1581750","177.17","177.17","2 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","Riviera Chalet"
"102-1813-2025","2025-01-12 22:15:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1750000","129.05","129.05","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","4","1","","Vista by Prestige One "
"102-1814-2025","2025-01-12 22:16:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Office","1446977","114","114","NA","2","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","ONE PARK CENTRAL BY IMAN"
"102-1815-2025","2025-01-13 14:41:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1634904","105.77","105.77","2 B/R","1","","","","1","1","","Samana Barari Views"
"102-1816-2025","2025-01-14 15:44:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","3658000","206.47","206.47","3 B/R","2","","","","1","1","","Lacina"
"102-1817-2025","2025-01-12 22:29:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","697000","38.44","38.44","Studio","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","MAK I'Sola Bella"
"102-1818-2025","2025-01-12 21:11:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","3516888","176.25","176.25","3 B/R","","","","","1","1","","Greenville 2"
"102-1819-2025","2025-01-12 22:46:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1214000","78.14","78.14","1 B/R","1","","","IMG World Adventures","1","1","","Samana IBIZA"
"102-182-2025","2025-01-03 10:08:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Fourth","Building","Villa","5325000","220","220","4 B/R","","","","","1","1","","Aura"
"102-1820-2025","2025-01-12 22:31:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1485000","116.49","116.49","2 B/R","1","","","","1","1","","Enqlave By Aqasa"
"102-1821-2025","2025-01-12 22:32:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 3","Building","Villa","6300000","247","247","4 B/R","","","","","1","1","","Lua Residences"
"102-1822-2025","2025-01-12 21:18:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2127888","74.54","74.54","1 B/R","1","","","","1","1","","Marina Place 1"
"102-1823-2025","2025-01-12 21:20:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4021888","394.87","394.87","4 B/R","","","","","1","1","","Greenville 2"
"102-1824-2025","2025-01-13 14:40:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1687392","129.91","129.91","2 B/R","1","","","","1","1","","Samana Barari Views 2"
"102-1825-2025","2025-01-12 21:29:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","1471860","58.29","58.29","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","AZIZI RIVIERA 67"
"102-1826-2025","2025-01-12 21:47:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","1456828","71.58","71.58","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","2","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1827-2025","2025-01-12 22:02:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1115848","75.46","75.46","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","48 PARKSIDE "
"102-1828-2025","2025-01-12 21:49:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1153325.8","78.66","78.66","1 B/R","1","","","IMG World Adventures","1","1","","REEF 1000"
"102-1829-2025","2025-01-12 22:48:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","946000","67.78","67.78","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","MAK I'Sola Bella"
"102-1830-2025","2025-01-12 22:06:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1125048","74.99","74.99","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","48 PARKSIDE "
"102-1831-2025","2025-01-12 21:22:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","682000","38.01","38.01","Studio","1","Dubai Internet City","","Motor City","1","1","","Arisha Terraces "
"102-1832-2025","2025-01-12 21:34:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","715206.44","44.1","44.1","Studio","1","","","IMG World Adventures","2","1","","REEF 1000"
"102-1834-2025","2025-01-12 22:07:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","1818476","114.15","114.15","2 B/R","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","1","1","","Avenue Residence 7 By Nabni"
"102-1835-2025","2025-01-12 22:12:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","1563828","75.23","75.23","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","2","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1836-2025","2025-01-12 22:49:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1040101","71.82","71.82","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","99 PARK PLACE"
"102-1837-2025","2025-01-12 21:55:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","2550828","129.48","129.48","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","2","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1838-2025","2025-01-12 22:14:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1200000","76.51","76.51","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","48 PARKSIDE "
"102-1839-2025","2025-01-12 21:40:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","4116600","100.84","100.84","1 B/R","1","","","","2","1","","W Residences at Dubai Harbour"
"102-1840-2025","2025-01-12 21:56:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","1536828","71.58","71.58","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","1","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1841-2025","2025-01-12 22:18:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","2510828","114.42","114.42","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","2","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1842-2025","2025-01-12 21:42:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","2265828","114.39","114.39","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","1","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1843-2025","2025-01-12 22:20:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","5734000","138.34","138.34","2 B/R","1","","","","1","1","","W Residences at Dubai Harbour"
"102-1844-2025","2025-01-12 21:43:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","1507828","71.58","71.58","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","1","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1845-2025","2025-01-12 22:54:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","4538888","121.7","121.7","2 B/R","1","","","","2","1","","Marina Place 1"
"102-1846-2025","2025-01-12 21:59:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","2272828","114.8","114.8","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","2","1","","CLAYDON HOUSE BY ELLINGTON "
"102-1847-2025","2025-01-12 22:21:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1176000","76.53","76.53","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","48 PARKSIDE "
